day,net_flows,lock_tx_number,unlock_tx_number
2023-11-02 00:00:00.000 UTC,9454.248222221377,5,0
2023-11-01 00:00:00.000 UTC,-99309.68040553697,1,1
2023-10-31 00:00:00.000 UTC,600,1,1
2023-10-30 00:00:00.000 UTC,2442.18546560382,2,0
2023-10-29 00:00:00.000 UTC,-1000,1,2
2023-10-27 00:00:00.000 UTC,9788.288468466792,6,0
2023-10-26 00:00:00.000 UTC,40000,2,2
2023-10-25 00:00:00.000 UTC,-256789.63929207553,1,2
2023-10-24 00:00:00.000 UTC,42086.41124138743,4,2
2023-10-23 00:00:00.000 UTC,858.5285805779589,2,0
2023-10-22 00:00:00.000 UTC,17287.098934088917,3,2
2023-10-21 00:00:00.000 UTC,56597.83143683,4,2
2023-10-20 00:00:00.000 UTC,5664.497388996343,6,2
2023-10-19 00:00:00.000 UTC,13546.830108829628,20,2
2023-10-18 00:00:00.000 UTC,84758.32092586823,26,1
2023-10-17 00:00:00.000 UTC,13102.06685541,21,1
2023-10-16 00:00:00.000 UTC,12963.568701508011,6,0
2023-10-14 00:00:00.000 UTC,1136,1,0
2023-10-13 00:00:00.000 UTC,1401.13557219519,2,0
2023-10-12 00:00:00.000 UTC,783603.5194806025,4,0
2023-10-11 00:00:00.000 UTC,2750,5,0
2023-10-10 00:00:00.000 UTC,21010.23709463,3,0
2023-10-09 00:00:00.000 UTC,1528.41521582,3,0
2023-10-06 00:00:00.000 UTC,904.18736674,2,0
2023-10-05 00:00:00.000 UTC,5719.65639666763,4,1
2023-10-04 00:00:00.000 UTC,600,1,0
2023-10-03 00:00:00.000 UTC,657.2944619460277,3,0
2023-10-02 00:00:00.000 UTC,150057.52864814398,2,0
2023-09-30 00:00:00.000 UTC,11701.8133,2,0
2023-09-29 00:00:00.000 UTC,10957.312500000002,2,0
2023-09-28 00:00:00.000 UTC,123593.78821736094,3,0
2023-09-27 00:00:00.000 UTC,146943.53434042563,1,2
2023-09-26 00:00:00.000 UTC,350100,3,0
2023-09-25 00:00:00.000 UTC,400,4,4
2023-09-24 00:00:00.000 UTC,-2120,0,3
